입국자국가,국가코드,입국연월,입국자 수
중국,112,201701,565243
중국,112,201702,590790
중국,112,201703,360782
중국,112,201704,227811
중국,112,201705,253359
중국,112,201706,254930
중국,112,201707,281263
중국,112,201708,339388
중국,112,201709,318682
중국,112,201710,345384
중국,112,201711,299247
중국,112,201712,332474
중국,112,201801,305127
중국,112,201802,345341
중국,112,201803,403413
중국,112,201804,366604
중국,112,201805,370222
중국,112,201806,379891
중국,112,201807,410337
중국,112,201808,478140
중국,112,201809,434595
중국,112,201810,475307
중국,112,201811,404256
중국,112,201812,416279
중국,112,201901,392814
중국,112,201902,453379
중국,112,201903,487623
중국,112,201904,493250
중국,112,201905,500413
중국,112,201906,475007
중국,112,201907,519132
중국,112,201908,578112
중국,112,201909,541350
중국,112,201910,567695
중국,112,201911,505369
중국,112,201912,508877
중국,112,202001,481681
중국,112,202002,104086
중국,112,202003,16595
중국,112,202004,3935
중국,112,202005,5124
중국,112,202006,5051
중국,112,202007,9738
중국,112,202008,16275
중국,112,202009,15307
중국,112,202010,11477
중국,112,202011,9174
중국,112,202012,7987
